address,operator_address,moniker,tier,allocation
terp19hyh7gvr7yv9qpjanakhdrd6cgcyp9jf369f00,,,1,3
terp19kvla8xpm44zp0gj0gdfqfggh5m60p8rp74uhe,,,1,3
terp19t5vjq8jlp5uy3jp4eu2nwms6u5yv7gn37kqdh,,,1,3
terp19yg0ms65e3n5sk24s5n3x0lp79vw6zdtacust7,,,1,3
terp19zrtt2uncccycgcm9efgedu0hr27qfdvn9uwmj,,,1,3
terp1a5wtevqew0y3880sp6w7lgtu90m3ts38zdfjvx,,,1,3
terp1a6gvrrken70l8v4qts3m0ycnnvgug9ywnjdr27,,,1,3
terp1aedaw6l8emqaclg352xhuh6mt935tzcg9t55lk,,,1,3
terp1af674u8mxy8w0s8395wq4tpsppcm33und346x4,,,1,3
terp1ahjjfn3jhmfytaevfdcfn6c0rtkqejaauncz3t,,,1,3
terp1an7untm0j46parl25rymd3pewmqpycvk9pffmh,,,1,3
terp1ap37pmfrr4z8gn4ul6et0znc8nmxnc6nx3lrsn,,,1,3
terp1ar2xgcljdxj0zzqscx0jtj457383j2xxgaf9z6,,,1,3
terp1c0u847k2pm0z4c8g0tkqc2ytp9zc2h4p2xzn9e,,,1,3
terp1c9mkft0d3sdjm3us883270veuww7qe3ymky0mz,,,1,3
terp1c9tpxanexwfmrj5ywf282rvnw29vlesewujzeu,,,1,3
terp1cchda0fgmu5kqklcvhh0t6rq597a0ggfcu0jgk,,,1,3
terp1ccvpczfnj03a5cxfc07eqzd6sm3vtwzqvyp55x,,,1,3
terp1chwml4tca69lpwezharl8rv3mz97rtwl34zdha,,,1,3
terp1cjcndhjhxj5ru9f05gazzpr8lhz5fz7d8a6zw3,,,1,3
terp1cw4dgpr52nv2sc9nu9fhe9n7ytrerj53y2z5wm,,,1,3
terp1d0hk2gflp7hsejy4t2a750g34w2m9nel8g4qxx,,,1,3
terp1d8xtuav36xg7hp6lv6u69gexpd8sunae3pt4zg,,,1,3
terp1d9ravy6x8mntycrxx5jq8azw2zjjmepepzw2j7,,,1,3
terp1dacllpem36fvx2euf38s7s9wncg7x2x4tq0dej,,,1,3
terp1dcxcprrmwrqm7lhwhsc2uys0ur998slrmxv3er,,,1,3
terp1ddcf8prazvw22sm9gd98gau7jhwxhdqpgu44ye,,,1,3
terp1ddkuq0ykaxqnxrrxnc46ltm78eeu4qtq07f9e9,,,1,3
terp1dewlv9j47gs8zqpttmyr0j4c9h7c90nmvvjx50,,,1,3
terp1djkltp58l2rwa4v58n2ppw8ev0tfc4kash06sl,,,1,3
terp1dl9jfeu6hw6t7fe3452zan82zltrfrpv6vy6c0,,,1,3
terp1dn8f39tqdfq2pwglejw4c8zl76c0dgylaexesf,,,1,3
terp1dnaayqadu5np7xcrl67jaclwl4gu5dgjljz6xk,,,1,3
terp1dpfzr9c05gyltmlxjthhcz93a7fafznuugpr8f,,,1,3
terp1dpulc3h32409jneelqmqjj5j4eyqf5svedthyd,,,1,3
terp1e2s4kp976rvqfah5avhu2grhdukvwvczxe40qz,,,1,3
terp1e6gqcrlhl3zfpku9lqfyv5zwfvr0hde8r02t2g,,,1,3
terp1eetpawhajm30wqv6n875wzyjxn5nfhzykcjn7z,,,1,3
terp1ej4hw9zvn8wz559xkrdcerjcauagr3xsdpv3q9,,,1,3
terp1ejnpzu8e667zm24merulfs0v2zegfjasl0qtlw,,,1,3
terp1eqj8gju6sldleq76auawrl58nwqcl6dyp973n6,,,1,3
terp1etsdevgm5ps240lrw9mg3p2j32tj96ktf4vdc7,,,1,3
terp1ff4kgfnqq76n7smp3qyurzjgdydv2f5re23gwr,,,1,3
terp1fr4dse2hghkw2sd3ve4mm4kml76km97xn8g7te,,,1,3
terp1fuf76x3f5vtpfd3yh4zuxu4y2qvnrtkdvdtvp9,,,1,3
terp1fvdynxfzzmxdgvdum02d25ewwfeesasfd2vq0r,,,1,3
terp1fxccvvhhy43tvet2ah7jqwq4cwl9k3dxmww052,,,1,3
terp1fxnkzpsggexfneqnucf2wmfy0zmgj7s22s2nt9,,,1,3
terp1fzwrcucs7xww9eenssvrlrujvvnhvuu7y5w5ae,,,1,3
terp1g00rfafry5k9ymjh6vpr677p274z3pxp54a2hh,,,1,3
terp1g2fw2rlthtplle950cmg5kk48aphlvfgdprxmn,,,1,3
terp1g6a8mqm5sc3q827vw9nte25txqu6uykjn6jghl,,,1,3
terp1gcjc9wllxyefau77aaapfy3kztuqt5339ke7x0,,,1,3
terp1gnfqzr25fgds7zn7m6njd795aat5yaf6vk7hd9,,,1,3
terp1gpg3cudxxrqfnzdvu564q8vx6pchsuyppuq56c,,,1,3
terp1gxhcqgkzzdqwpnjw8zt4w42afe5rp6z53h3rxk,,,1,3
terp1h34nzp0mt34kzvjpul7s3p3nlas7dxkasmj5ql,,,1,3
